"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","geneid"
7.08139342252721e-19,2.45678097689903,0.213,0.05,2.14884883406588e-14,"CSN1S1","ENSG00000126545"
2.70783847821739e-19,2.95522203610367,0.198,0.037,8.21693586215066e-15,"THY1","ENSG00000154096"
4.99633517503048e-20,1.35672439390091,0.346,0.136,1.516137908863e-15,"CCL4","ENSG00000275302"
1.81790142242597e-20,1.53093222358663,0.37,0.143,5.51642186635161e-16,"KDELR2","ENSG00000136240"
1.36154844838863e-20,1.24304262906656,0.433,0.188,4.13161876663531e-16,"SSR2","ENSG00000163479"
4.66487907997727e-23,1.30730278502361,0.444,0.181,1.4155575568191e-18,"ARF4","ENSG00000168374"
9.44833532638672e-24,1.28327304363975,0.507,0.236,2.86709735479205e-19,"ATP1B3","ENSG00000069849"
4.06313744224469e-25,2.00104354076224,0.372,0.125,1.23295905684915e-20,"COX7A1","ENSG00000161281"
2.06203583329861e-25,1.63130254861636,0.48,0.202,6.25724773614463e-21,"DNAJB1","ENSG00000132002"
3.83113962791181e-26,2.7221429896748,0.266,0.054,1.16255932008984e-21,"CXCL1","ENSG00000163739"
2.409131472747e-26,2.15336942972645,0.281,0.058,7.31050945405078e-22,"IL1B","ENSG00000125538"
7.24209509947505e-28,1.57675900943907,0.339,0.09,2.19761375793571e-23,"CCL4L2","ENSG00000276070"
1.73164485699462e-28,1.00975746327391,0.647,0.288,5.25467631855017e-24,"CLIC4","ENSG00000169504"
8.78180928044125e-29,1.06027653223765,0.572,0.239,2.6648400261499e-24,"ATP6V0C","ENSG00000185883"
2.33743309310594e-30,1.71720521911642,0.473,0.173,7.09294072102997e-26,"HSPE1","ENSG00000115541"
4.07568141212553e-31,1.4647213025276,0.755,0.577,1.23676552450949e-26,"COL3A1","ENSG00000168542"
2.79636354656116e-31,1.42931131933963,0.517,0.192,8.48556518203983e-27,"PRDX5","ENSG00000126432"
7.01203020145546e-32,1.83695392756463,0.443,0.141,2.12780056463166e-27,"OSTC","ENSG00000198856"
1.29168870758064e-32,1.21275626356037,0.586,0.231,3.91962938315345e-28,"PSMB1","ENSG00000008018"
1.23210091162563e-33,1.08096639100483,0.585,0.216,3.73881021632798e-29,"MFGE8","ENSG00000140545"
7.22247774954919e-34,1.07210037986816,1,0.793,2.1916608731007e-29,"MT-ND2","ENSG00000198763"
2.0738967811681e-35,2.20147045601386,0.402,0.099,6.29323978245461e-31,"HNRNPA0","ENSG00000177733"
1.88612888265511e-35,1.18164208440241,0.614,0.244,5.72345809441692e-31,"BRD2","ENSG00000204256"
1.8100218933935e-35,1.03935608311967,0.849,0.412,5.49251143550257e-31,"EMP1","ENSG00000134531"
7.84749099136748e-36,1.28254459371724,0.592,0.226,2.38132114133046e-31,"PGK1","ENSG00000102144"
2.98632101446167e-37,1.24898935520277,0.643,0.258,9.06199111838392e-33,"NBL1","ENSG00000158747"
